id,public_metrics
892420643555336193,"{'retweet_count': 7076, 'reply_count': 144, 'like_count': 34130, 'quote_count': 219}"
892420643555336193,"{'retweet_count': 7076, 'reply_count': 144, 'like_count': 34130, 'quote_count': 219}"
892177421306343426,"{'retweet_count': 5344, 'reply_count': 172, 'like_count': 29611, 'quote_count': 274}"
892177421306343426,"{'retweet_count': 5344, 'reply_count': 172, 'like_count': 29611, 'quote_count': 274}"
891815181378084864,"{'retweet_count': 3514, 'reply_count': 110, 'like_count': 22296, 'quote_count': 145}"
891815181378084864,"{'retweet_count': 3514, 'reply_count': 110, 'like_count': 22296, 'quote_count': 145}"
891689557279858688,"{'retweet_count': 7286, 'reply_count': 142, 'like_count': 37301, 'quote_count': 286}"
891689557279858688,"{'retweet_count': 7286, 'reply_count': 142, 'like_count': 37301, 'quote_count': 286}"
891327558926688256,"{'retweet_count': 7818, 'reply_count': 193, 'like_count': 35648, 'quote_count': 296}"
891327558926688256,"{'retweet_count': 7818, 'reply_count': 193, 'like_count': 35648, 'quote_count': 296}"
891087950875897856,"{'retweet_count': 2625, 'reply_count': 58, 'like_count': 17985, 'quote_count': 43}"
891087950875897856,"{'retweet_count': 2625, 'reply_count': 58, 'like_count': 17985, 'quote_count': 43}"
890971913173991426,"{'retweet_count': 1684, 'reply_count': 51, 'like_count': 10469, 'quote_count': 55}"
890971913173991426,"{'retweet_count': 1684, 'reply_count': 51, 'like_count': 10469, 'quote_count': 55}"
890729181411237888,"{'retweet_count': 15907, 'reply_count': 160, 'like_count': 57365, 'quote_count': 377}"
890729181411237888,"{'retweet_count': 15907, 'reply_count': 160, 'like_count': 57365, 'quote_count': 377}"
890609185150312448,"{'retweet_count': 3657, 'reply_count': 94, 'like_count': 24760, 'quote_count': 129}"
890609185150312448,"{'retweet_count': 3657, 'reply_count': 94, 'like_count': 24760, 'quote_count': 129}"
890240255349198849,"{'retweet_count': 6150, 'reply_count': 145, 'like_count': 28241, 'quote_count': 352}"
890240255349198849,"{'retweet_count': 6150, 'reply_count': 145, 'like_count': 28241, 'quote_count': 352}"
890006608113172480,"{'retweet_count': 6200, 'reply_count': 154, 'like_count': 27279, 'quote_count': 267}"
890006608113172480,"{'retweet_count': 6200, 'reply_count': 154, 'like_count': 27279, 'quote_count': 267}"
889880896479866881,"{'retweet_count': 4209, 'reply_count': 91, 'like_count': 24816, 'quote_count': 146}"
889880896479866881,"{'retweet_count': 4209, 'reply_count': 91, 'like_count': 24816, 'quote_count': 146}"
889665388333682689,"{'retweet_count': 8419, 'reply_count': 175, 'like_count': 42461, 'quote_count': 318}"
889665388333682689,"{'retweet_count': 8419, 'reply_count': 175, 'like_count': 42461, 'quote_count': 318}"
889638837579907072,"{'retweet_count': 3752, 'reply_count': 93, 'like_count': 23886, 'quote_count': 199}"
889638837579907072,"{'retweet_count': 3752, 'reply_count': 93, 'like_count': 23886, 'quote_count': 199}"
889531135344209921,"{'retweet_count': 1893, 'reply_count': 60, 'like_count': 13474, 'quote_count': 81}"
889531135344209921,"{'retweet_count': 1893, 'reply_count': 60, 'like_count': 13474, 'quote_count': 81}"
889278841981685760,"{'retweet_count': 4480, 'reply_count': 111, 'like_count': 22323, 'quote_count': 124}"
889278841981685760,"{'retweet_count': 4480, 'reply_count': 111, 'like_count': 22323, 'quote_count': 124}"
888917238123831296,"{'retweet_count': 3795, 'reply_count': 81, 'like_count': 25887, 'quote_count': 91}"
888917238123831296,"{'retweet_count': 3795, 'reply_count': 81, 'like_count': 25887, 'quote_count': 91}"
888804989199671297,"{'retweet_count': 3575, 'reply_count': 67, 'like_count': 22681, 'quote_count': 80}"
888804989199671297,"{'retweet_count': 3575, 'reply_count': 67, 'like_count': 22681, 'quote_count': 80}"
888554962724278272,"{'retweet_count': 2904, 'reply_count': 71, 'like_count': 17499, 'quote_count': 61}"
888554962724278272,"{'retweet_count': 2904, 'reply_count': 71, 'like_count': 17499, 'quote_count': 61}"
888078434458587136,"{'retweet_count': 2926, 'reply_count': 96, 'like_count': 19338, 'quote_count': 170}"
888078434458587136,"{'retweet_count': 2926, 'reply_count': 96, 'like_count': 19338, 'quote_count': 170}"
887705289381826560,"{'retweet_count': 4566, 'reply_count': 80, 'like_count': 26885, 'quote_count': 159}"
887705289381826560,"{'retweet_count': 4566, 'reply_count': 80, 'like_count': 26885, 'quote_count': 159}"
887517139158093824,"{'retweet_count': 9926, 'reply_count': 433, 'like_count': 41133, 'quote_count': 1150}"
887517139158093824,"{'retweet_count': 9926, 'reply_count': 433, 'like_count': 41133, 'quote_count': 1150}"
887473957103951883,"{'retweet_count': 15158, 'reply_count': 217, 'like_count': 60732, 'quote_count': 588}"
887473957103951883,"{'retweet_count': 15158, 'reply_count': 217, 'like_count': 60732, 'quote_count': 588}"
887343217045368832,"{'retweet_count': 8890, 'reply_count': 182, 'like_count': 29874, 'quote_count': 539}"
887343217045368832,"{'retweet_count': 8890, 'reply_count': 182, 'like_count': 29874, 'quote_count': 539}"
887101392804085760,"{'retweet_count': 5033, 'reply_count': 134, 'like_count': 27239, 'quote_count': 186}"
887101392804085760,"{'retweet_count': 5033, 'reply_count': 134, 'like_count': 27239, 'quote_count': 186}"
886983233522544640,"{'retweet_count': 6381, 'reply_count': 140, 'like_count': 30682, 'quote_count': 357}"
886983233522544640,"{'retweet_count': 6381, 'reply_count': 140, 'like_count': 30682, 'quote_count': 357}"
886736880519319552,"{'retweet_count': 2656, 'reply_count': 47, 'like_count': 10594, 'quote_count': 78}"
886736880519319552,"{'retweet_count': 2656, 'reply_count': 47, 'like_count': 10594, 'quote_count': 78}"
886680336477933568,"{'retweet_count': 3764, 'reply_count': 71, 'like_count': 19934, 'quote_count': 109}"
886680336477933568,"{'retweet_count': 3764, 'reply_count': 71, 'like_count': 19934, 'quote_count': 109}"
886366144734445568,"{'retweet_count': 2657, 'reply_count': 73, 'like_count': 18734, 'quote_count': 117}"
886366144734445568,"{'retweet_count': 2657, 'reply_count': 73, 'like_count': 18734, 'quote_count': 117}"
886267009285017600,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 105, 'quote_count': 0}"
886267009285017600,"{'retweet_count': 4, 'reply_count': 2, 'like_count': 105, 'quote_count': 0}"
886258384151887873,"{'retweet_count': 5337, 'reply_count': 103, 'like_count': 24769, 'quote_count': 215}"
886258384151887873,"{'retweet_count': 5337, 'reply_count': 103, 'like_count': 24769, 'quote_count': 215}"
886054160059072513,"{'retweet_count': 93, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
886054160059072513,"{'retweet_count': 93, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
885984800019947520,"{'retweet_count': 5672, 'reply_count': 122, 'like_count': 28869, 'quote_count': 173}"
885984800019947520,"{'retweet_count': 5672, 'reply_count': 122, 'like_count': 28869, 'quote_count': 173}"
885528943205470208,"{'retweet_count': 5381, 'reply_count': 69, 'like_count': 31872, 'quote_count': 141}"
885528943205470208,"{'retweet_count': 5381, 'reply_count': 69, 'like_count': 31872, 'quote_count': 141}"
885518971528720385,"{'retweet_count': 3138, 'reply_count': 113, 'like_count': 18174, 'quote_count': 156}"
885518971528720385,"{'retweet_count': 3138, 'reply_count': 113, 'like_count': 18174, 'quote_count': 156}"
885311592912609280,"{'retweet_count': 15576, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
885311592912609280,"{'retweet_count': 15576, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}"
885167619883638784,"{'retweet_count': 3690, 'reply_count': 133, 'like_count': 19434, 'quote_count': 316}"
